KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
1422,1422.04,K01422.04,0.22,,,1.14,0.04,3665,21,19,0.414,0.012,0.013,3371,21,20,0.276138,0.667,0.007,0.007,0.3320859,0.20017403,1.44,0.25,0.26,2.03,0.35,0.38,63.3354719,0.000927,-0.000927,136.2,15.7,-15.7,3.651,0.251,-0.251,0.029,0.422,-0.029,983.0,83.8,-83.8,8.461991119947799,2.9262832727572787,4.6800385,9.506686,0.3233947443296567,0.6766052556703432
1422,1422.05,K01422.05,0.22,,,1.14,0.04,3665,21,19,0.414,0.012,0.013,3371,21,20,0.276138,0.667,0.007,0.007,0.3320859,0.20017403,1.29,0.23,0.24,1.81,0.31,0.31,34.1420506,0.0002289,-0.0002289,90.33,5.5,-5.5,2.945,0.179,-0.179,0.105,0.334,-0.105,788.0,63.1,-63.1,8.49477912974258,1.5516866560473,4.6800385,9.506686,0.0836881800960175,0.9163118199039824
1436,1436.01,K01436.01,0.15,,,2.9,0.05,5763,42,45,0.918,0.011,0.011,3578,20,20,0.3672,0.4,0.008,0.007,0.8985729,0.2858435,1.22,0.34,0.34,4.92,1.42,1.38,2.508553286,7.668e-06,-7.668e-06,8.587,0.607,-0.607,2.2664,0.0736,-0.0736,0.009,0.448,-0.009,211.6,9.0,-9.0,1.351801709861829,0.2866694903526715,1.1615163,5.7732496,0.9999907032418972,9.296758102869792e-06
1436,1436.02,K01436.02,0.15,,,2.9,0.05,5763,42,45,0.918,0.011,0.011,3578,20,20,0.3672,0.4,0.008,0.007,0.8985729,0.2858435,1.6,0.44,0.45,6.42,1.79,1.82,13.75129636,6.486e-05,-6.486e-05,25.96,7.7,-7.7,3.853,0.104,-0.104,0.359,0.092,-0.359,348.5,15.0,-15.0,1.242974001017768,1.106036187346319,1.1615163,5.7732496,0.9945014514235736,0.0054985485764263
1436,1436.03,K01436.03,0.15,,,2.9,0.05,5763,42,45,0.918,0.011,0.011,3578,20,20,0.3672,0.4,0.008,0.007,0.8985729,0.2858435,1.34,0.38,0.37,5.38,1.55,1.49,5.41908491,2.176e-05,-2.176e-05,15.26,4.3,-4.3,2.3379,0.0867,-0.0867,0.536,0.396,-0.33,231.0,12.4,-12.4,1.6257245088796994,1.374301845645355,1.1615163,5.7732496,0.9609651285165292,0.0390348714834707
1506,1506.01,K01506.01,1.15,,,2.24,0.01,5848,48,45,0.938,0.015,0.016,3805,25,23,0.47744203,0.509,0.004,0.004,0.92311025,0.3968723,3.02,0.82,0.83,10.05,2.8,2.75,40.4286676,0.0001805,-0.0001805,24.0,11.3,-11.3,7.102,0.179,-0.179,0.872,0.054,-0.618,916.1,25.1,-25.1,0.1136292478406466,0.1605013125749134,1.1185232,3.6466062,0.999946708102583,5.3291897417011954e-05
1521,1521.01,K01521.01,0.06,,,0.48,0.03,5374,62,60,0.814,0.017,0.015,4732,77,75,0.703296,0.864,0.01,0.009,0.7731798,0.6440546,1.76,0.18,0.18,2.44,0.26,0.27,25.9421582,0.0001126,-0.0001126,41.4,16.8,-16.8,4.045,0.104,-0.104,0.577,0.295,-0.372,569.7,20.3,-20.3,1.4165244677611508,1.7244645694483576,1.4335315,1.851434,0.5077370116556442,0.4922629883443558
1531,1531.01,K01531.01,0.38,,,1.23,0.0,6089,72,76,1.021,0.038,0.038,4798,103,103,0.667734,0.654,0.005,0.005,1.0263186,0.6036072,1.36,0.27,0.27,2.43,0.49,0.48,5.69919592,1.367e-05,-1.367e-05,18.429,0.983,-0.983,2.3906,0.0603,-0.0603,0.007,0.444,-0.007,159.4,5.3,-5.3,2.5888888219523105,0.4142727839783691,0.9642839,2.0274208,0.0019131876213465,0.9980868123786534
1589,1589.01,K01589.01,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.44,0.77,0.78,4.22,0.91,0.94,8.72585478,2.992e-05,-2.992e-05,7.0,3.3,-3.3,4.473,0.0658,-0.0658,0.911,0.004,-0.63,446.7,12.8,-12.8,0.0605220210274751,0.0855954297388577,0.8357095,1.2596402,0.975126890310628,0.024873109689372
1589,1589.02,K01589.02,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.8,0.84,0.83,4.64,1.02,1.04,12.88291395,6.888e-05,-6.888e-05,6.24,3.1,-3.1,5.676,0.59,-0.59,0.962,0.048,-0.565,460.5,18.9,-18.9,0.0196680281443074,0.0293129265612274,0.8357095,1.2596402,0.7186052483763574,0.2813947516236426
1589,1589.03,K01589.03,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.06,0.68,0.68,3.79,0.83,0.82,27.4345973,0.0001317,-0.0001317,34.3,13.2,-13.2,5.038,0.121,-0.121,0.603,0.022,-0.462,472.6,19.4,-19.4,0.720311659398636,0.8316134609966759,0.8357095,1.2596402,0.5474964927079746,0.4525035072920254
1589,1589.04,K01589.04,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,1.91,0.43,0.42,2.37,0.53,0.53,4.22453631,2.22e-05,-2.22e-05,6.15,2.7,-2.7,3.128,0.119,-0.119,0.823,0.125,-0.563,159.1,10.3,-10.3,0.1751066005319201,0.2306282055786265,0.8357095,1.2596402,0.9692133307894985,0.0307866692105016
1589,1589.05,K01589.05,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,2.72,0.6,0.59,3.39,0.77,0.78,44.5520266,0.0004531,-0.0004531,42.6,20.4,-20.4,6.0,0.212,-0.212,0.689,0.253,-0.454,362.1,22.5,-22.5,0.5232739717166957,0.7517457058465205,0.8357095,1.2596402,0.5907855495913037,0.4092144504086963
